,Classificador,Acurácia,Desvio Padrão,Mediana
0,DT,0.9524109014675054,0.032989922941082564,0.9629629629629629
1,NB,0.5301816911250873,0.046721470510766014,0.5370370370370371
2,KNN 3,0.7550314465408806,0.06495728369625363,0.7569881201956674
3,KNN 5,0.7516981132075472,0.05671740025242492,0.7547169811320755
4,KNN 7,0.6175471698113207,0.06532136110782173,0.6111111111111112
5,uniform WKNN 3,0.7550314465408806,0.06495728369625363,0.7569881201956674
6,distance WKNN 3,0.9532215234102027,0.03444020721948628,0.9537037037037037
7,uniform WKNN 5,0.7516981132075472,0.05671740025242492,0.7547169811320755
8,distance WKNN 5,0.9513417190775683,0.03315152804714824,0.9444444444444444
9,uniform WKNN 7,0.6175471698113207,0.06532136110782173,0.6111111111111112
10,distance WKNN 7,0.9427812718378756,0.03484946605288733,0.9444444444444444
11,SVM RBF,0.908301886792453,0.051342007751655094,0.9074074074074074
12,LR,0.6703633822501748,0.054634055520525165,0.6666666666666666
