,classifier,reject,p_values,accuracy,fit_time
1,NB,False,0.9999456638097783,0.5301816911250873,0.011276440620422363
4,KNN 7,False,0.9999902065761873,0.6175471698113207,0.009357304573059081
9,uniform WKNN 7,False,0.9999902065761873,0.6175471698113207,0.008958535194396973
12,LR,False,0.9999902065761873,0.6703633822501748,0.05574854373931885
3,KNN 5,False,0.9999964122664893,0.7516981132075472,0.010236272811889649
7,uniform WKNN 5,False,0.9999964122664893,0.7516981132075472,0.008956112861633302
2,KNN 3,False,0.9999964122664893,0.7550314465408806,0.0091986083984375
5,uniform WKNN 3,False,0.9999964122664893,0.7550314465408806,0.0072786474227905275
11,SVM RBF,False,0.9999964122664893,0.908301886792453,0.1522063398361206
10,distance WKNN 7,False,0.9999964122664893,0.9427812718378756,0.0074361848831176755
8,distance WKNN 5,False,0.9999964122664893,0.9513417190775683,0.00855823516845703
0,DT,False,0.9999964122664893,0.9524109014675054,0.01367678165435791
6,distance WKNN 3,False,0.9999964122664893,0.9532215234102027,0.00823676586151123
